On-Time: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Number of Flights by Operating_Airline  by Month for 2019
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,20210,18311,22384,21039,21094,21897,22315,23344,20916,21525,20830,23381,257246
AA,American Airlines Inc.,77017,71059,80027,76765,81666,80090,81801,82689,77663,81028,77566,79405,946776
AS,Alaska Airlines Inc.,20744,19028,21694,21300,22567,23271,24594,24688,21737,22194,21007,21993,264817
AX,Trans States Airlines,6254,5750,6657,6313,6366,6320,6491,6501,6194,6512,6236,6406,76000
B6,JetBlue Airways,24443,22398,25927,25329,24967,24324,25545,25518,24143,24891,24709,25217,297411
C5,CommuteAir LLC dba CommuteAir,4207,3876,4300,4288,4804,4975,5357,5420,5351,5671,4967,4836,58052
CP,Alis Cargo Airlines S.P.A.,8194,7422,8714,8447,8763,8604,8805,8856,7391,7474,5920,5619,94209
DL,Delta Air Lines Inc.,73836,67337,84208,81949,85579,87350,90812,91278,81745,86322,80046,81524,991986
EM,Empire Airlines Inc.,742,672,747,722,754,728,755,751,729,754,729,750,8833
EV,ExpressJet Airlines LLC d/b/a aha!,13017,11375,12884,11238,9288,9780,11170,11311,11384,10425,11193,11212,134277
F9,Frontier Airlines Inc.,9647,8750,9845,9819,11383,11647,12535,12454,12200,12769,12227,12267,135543
G4,Allegiant Air,6763,7271,10260,9283,9021,11091,11786,8717,5726,7866,8140,9381,105305
G7,GoJet Airlines LLC d/b/a United Express,7221,6535,7465,7412,7317,7008,6412,6562,5617,5697,5694,6123,79063
HA,Hawaiian Airlines Inc.,6798,6033,6858,6900,7219,7198,7334,7364,6876,7121,6914,7276,83891
KS,Peninsula Airways Inc.,212,112,124,120,138,186,142,144,144,152,-,-,1474
MQ,Envoy Air,25696,23335,26749,26174,28797,28448,29562,29942,27251,28056,25957,27117,327084
NK,Spirit Air Lines,15222,13654,17154,16774,18055,17874,18845,18860,16759,16911,17438,17299,204845
OH,PSA Airlines Inc.,23170,21359,24296,23950,24783,24677,25238,25450,23676,24505,23603,24282,288989
OO,SkyWest Airlines Inc.,65115,59603,70423,68514,72039,72164,73753,74973,68050,72433,67716,71972,836755
PT,Piedmont Airlines,9030,8494,10207,10212,10642,10784,10823,10790,10269,10811,10227,10765,123054
QX,Horizon Air,10054,8720,9860,9734,10150,10202,10710,10763,9965,10582,10286,10871,121897
UA,United Air Lines Inc.,46915,43722,53651,52292,54360,54075,56106,56223,52021,55074,50180,51291,625910
WN,Southwest Airlines Co.,111312,99500,119413,115401,117849,115213,119342,116526,109217,116465,109266,114442,1363946
YV,Mesa Airlines Inc.,18331,16523,18845,18190,19592,19920,20103,20094,19100,19762,18549,18822,227831
YX,Republic Airline,25773,23939,27456,27080,28148,27681,28207,28995,27517,28756,27167,28877,329596
ZW,Air Wisconsin Airlines Corp,8726,8188,9073,9014,8970,8962,9141,9243,9071,9188,8505,8813,106894
All Rows,All Rows (including those not displayed),638649,582966,689221,668259,694311,694469,717684,717456,660712,692944,655072,679941,8091684
