On-Time: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Number of Flights by Operating_Airline  by Month for 2018
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,18249,17384,21272,20915,21101,21961,21476,22834,19681,20974,19513,20698,246058
9K,Cape Air,341,308,341,330,341,-,-,-,-,-,-,-,1661
AA,American Airlines Inc.,73598,68389,78208,74384,77957,78363,80736,80406,75129,78963,74564,76121,916818
AS,Alaska Airlines Inc.,15312,14056,15937,21987,22974,23248,24329,23706,21129,21634,20577,20872,245761
AX,Trans States Airlines,7528,6715,7209,7293,7429,7643,7491,7570,6351,6220,5653,6291,83393
B6,JetBlue Airways,24871,22847,26500,25836,26513,25860,26671,26623,24427,24923,24589,25350,305010
C5,CommuteAir LLC dba CommuteAir,3047,2833,3667,3748,3810,4324,4494,4679,4447,4368,4216,4377,48010
CP,Alis Cargo Airlines S.P.A.,7405,6797,8366,8131,8519,8196,8371,8725,7914,8074,7829,8350,96677
DL,Delta Air Lines Inc.,71253,66302,81365,79013,81735,83653,86544,87966,78075,82134,76236,75006,949282
EM,Empire Airlines Inc.,899,812,779,694,744,718,747,753,713,751,727,750,9087
EV,ExpressJet Airlines LLC d/b/a aha!,20167,17964,20989,17648,16708,16584,16545,17358,15452,15318,14236,13729,202698
F9,Frontier Airlines Inc.,9707,8712,9376,9614,10297,10207,10686,10710,10352,10516,9939,9916,120032
G4,Allegiant Air,6814,7047,9276,8146,8033,9776,10325,8170,5724,7597,7641,7672,96221
G7,GoJet Airlines LLC d/b/a United Express,7500,6824,7660,7000,7386,7627,7838,8152,7188,7485,7016,7364,89040
HA,Hawaiian Airlines Inc.,6653,6028,6919,6774,7098,7327,7417,-,6937,7186,6930,7214,76483
KS,Peninsula Airways Inc.,219,112,124,144,132,182,142,150,146,144,118,140,1753
MQ,Envoy Air,22505,20684,23685,24068,25365,25963,26140,26434,24845,26249,24611,25611,296160
NK,Spirit Air Lines,14180,12971,14841,14548,14889,15433,16093,16095,13917,13780,14418,15013,176178
OH,PSA Airlines Inc.,22210,20546,23295,23303,23871,23754,24351,24387,22942,23971,22769,23063,278462
OO,SkyWest Airlines Inc.,62176,55980,64626,62886,65199,66929,69467,70730,62747,66580,62301,64764,774385
PT,Piedmont Airlines,7513,6728,7830,7438,7642,8073,8260,8488,8206,9130,8944,9672,97924
QX,Horizon Air,8880,7840,9175,9153,9752,10070,10436,10021,8849,9104,9614,10287,113181
UA,United Air Lines Inc.,45384,41650,49800,49937,52816,55056,57209,57921,52905,55565,51792,51530,621565
VX,Virgin America,5824,5322,6524,-,-,-,-,-,-,-,-,-,17670
WN,Southwest Airlines Co.,109676,97017,116420,114117,116849,115939,120114,115534,106972,114663,112224,113027,1352552
YV,Mesa Airlines Inc.,16238,14601,16079,16708,17849,18526,19701,19982,18904,19208,18447,18571,214814
YX,Republic Airline,25316,23273,26935,26231,27420,27690,27540,28277,25632,26885,25473,25691,316363
ZW,Air Wisconsin Airlines Corp,7933,7189,8624,8977,9305,8912,8760,8111,8046,8695,8661,8246,101459
All Rows,All Rows (including those not displayed),621398,566931,665822,649023,671734,682014,701883,693782,637630,670117,639038,649325,7848697
