On-Time: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Departure Delay Indicator, 15 Minutes or More (1=Yes) by Operating_Airline  by Month for 2018
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,3082,3155,3343,3665,3120,3833,3874,4425,3050,3049,3722,3374,41692
9K,Cape Air,28,22,33,29,20,-,-,-,-,-,-,-,132
AA,American Airlines Inc.,10928,10714,10798,10739,14816,17914,20634,18630,13006,13745,11792,12059,165775
AS,Alaska Airlines Inc.,1224,1331,1393,2604,3002,3096,3293,4664,2350,3213,3139,2856,32165
AX,Trans States Airlines,2070,1751,1354,1204,1596,2208,1956,1999,1147,1083,1030,1145,18543
B6,JetBlue Airways,7117,5414,7772,7729,7351,6746,7991,8024,4797,4681,6333,6268,80223
C5,CommuteAir LLC dba CommuteAir,830,831,880,966,946,1199,1135,1476,1252,1107,1580,1369,13571
CP,Alis Cargo Airlines S.P.A.,992,1086,1607,1236,1137,1399,1205,1991,1250,1413,1352,1611,16279
DL,Delta Air Lines Inc.,11143,8380,10456,9947,11465,15734,14924,15056,8766,7859,12020,8468,134218
EM,Empire Airlines Inc.,80,201,144,132,108,152,99,116,106,150,117,120,1525
EV,ExpressJet Airlines LLC d/b/a aha!,3912,3554,3093,2781,2483,3024,2932,3480,2874,2787,2941,2901,36762
F9,Frontier Airlines Inc.,2285,2082,1783,2245,2796,3837,3932,3851,3311,3204,2740,2471,34537
G4,Allegiant Air,1388,1391,1914,1585,1886,2649,2964,1647,945,1260,1433,1446,20508
G7,GoJet Airlines LLC d/b/a United Express,1708,1480,1112,953,1192,1411,1200,1910,935,1205,1222,1248,15576
HA,Hawaiian Airlines Inc.,557,887,669,548,473,476,386,-,412,488,378,591,5865
KS,Peninsula Airways Inc.,43,36,23,17,29,46,31,63,43,23,19,40,413
MQ,Envoy Air,4063,3891,2719,3218,4395,5728,5041,4770,3466,3755,3725,4536,49307
NK,Spirit Air Lines,1891,1972,1831,2282,2626,3108,3706,3723,1955,1413,2186,2182,28875
OH,PSA Airlines Inc.,4876,4847,4191,4128,5177,5640,5557,5524,3659,3239,3882,3806,54526
OO,SkyWest Airlines Inc.,12578,9892,8690,7938,10295,11759,11461,13933,8135,8893,10294,11620,125488
PT,Piedmont Airlines,1152,1224,1001,1167,1635,1767,1963,1833,1588,1504,1959,2038,18831
QX,Horizon Air,837,819,874,882,778,1077,1120,2235,1203,1655,1748,1786,15014
UA,United Air Lines Inc.,6165,5375,6692,7017,9680,11592,12293,14183,7611,7980,9250,8416,106254
VX,Virgin America,818,716,1490,-,-,-,-,-,-,-,-,-,3024
WN,Southwest Airlines Co.,20631,23047,26467,27512,30119,28416,32035,26014,16905,20420,22971,26840,301377
YV,Mesa Airlines Inc.,2532,2843,1679,1893,2614,3098,4060,3873,4049,3842,3299,3375,37157
YX,Republic Airline,4016,3406,3410,3892,4365,5252,4761,4949,3535,3635,4019,3561,48801
ZW,Air Wisconsin Airlines Corp,1704,1587,1242,1410,2472,2255,1566,1540,989,811,1177,978,17731
All Rows,All Rows (including those not displayed),108650,101934,106660,107719,126576,143416,150119,149909,97339,102414,114328,115105,1424169
