On-Time: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Number of Flights by Operating_Airline  by Month for 2020
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,23088,21652,26004,6283,7423,9155,16292,17899,18931,21639,21081,22010,211457
AA,American Airlines Inc.,76276,72402,80330,42362,21904,27054,46161,46807,38890,40644,38480,38496,569806
AS,Alaska Airlines Inc.,21110,19515,21380,5964,4391,6503,7661,9611,9643,10674,10766,11008,138226
AX,Trans States Airlines,6424,5728,6523,30,-,-,-,-,-,-,-,-,18705
B6,JetBlue Airways,24709,23527,25657,6886,2762,5367,10495,7870,6378,8811,10737,10964,144163
C5,CommuteAir LLC dba CommuteAir,4624,4477,4581,905,1210,1255,1823,1579,2088,3072,3623,3716,32953
CP,Alis Cargo Airlines S.P.A.,5741,4723,4844,570,-,-,-,-,-,-,-,-,15878
DL,Delta Air Lines Inc.,80067,75446,86291,26002,16952,21865,37269,47458,44323,46775,49275,49378,581101
EM,Empire Airlines Inc.,752,702,759,240,248,300,426,425,312,438,240,248,5090
EV,ExpressJet Airlines LLC d/b/a aha!,10591,11450,12416,4656,2464,2149,2860,3296,2330,-,-,-,52212
F9,Frontier Airlines Inc.,12467,11549,12765,2736,2863,4754,7533,7112,6734,7917,7425,7320,91175
G4,Allegiant Air,7774,8714,11754,6256,9643,9019,10349,8619,4917,7141,6935,7368,98489
G7,GoJet Airlines LLC d/b/a United Express,5811,4992,6156,2156,1284,1113,1731,2303,3093,3329,3647,3374,38989
HA,Hawaiian Airlines Inc.,7035,6509,6773,1408,1283,1652,2870,2520,1512,2799,2914,3139,40414
MQ,Envoy Air,26201,24193,27039,14310,9369,11163,17852,16481,15390,16624,15953,16860,211435
NK,Spirit Air Lines,17477,17364,19729,5543,1410,4395,15993,11578,7460,9117,12291,12745,135102
OH,PSA Airlines Inc.,24311,22897,25217,18155,8678,9330,13936,14671,13376,14081,13670,14291,192613
OO,SkyWest Airlines Inc.,71133,67043,74151,39381,26042,26243,39948,49603,46686,51051,51029,54676,596986
PT,Piedmont Airlines,10657,10089,10925,7127,3711,3578,4949,5058,3718,2457,4256,5834,72359
QX,Horizon Air,10296,9540,9986,3964,3875,6058,7433,9405,8902,8617,8807,9180,96063
UA,United Air Lines Inc.,48401,46244,53803,17820,7166,7290,14973,21628,17253,23589,24158,25892,308217
WN,Southwest Airlines Co.,109770,101581,116689,94362,45347,63828,82736,84843,63439,64101,70238,64342,961276
YV,Mesa Airlines Inc.,17836,16678,18273,9157,6901,5042,9099,9972,10697,9771,10890,11611,135927
YX,Republic Airline,29121,27566,29968,12100,5980,8925,16849,16745,15382,17372,18507,21257,219772
ZW,Air Wisconsin Airlines Corp,8884,8522,9261,2865,1506,1226,1621,2987,3840,4519,4665,4093,53989
All Rows,All Rows (including those not displayed),660556,623103,701274,331238,192412,237264,370859,398470,345294,374538,389587,397802,5022397
